state,district,typology,child_ratio,adult_ratio,pressure_tier
Rajasthan,Kota,Migration Impact Zone,0.341,0.659,Stable
Rajasthan,Kotputli-Behror,Population Expansion Zone,0.081,0.919,Stable
Rajasthan,Nagaur,Migration Impact Zone,0.411,0.589,Stable
Rajasthan,Pali,Migration Impact Zone,0.378,0.622,Stable
Rajasthan,Pratapgarh,Migration Impact Zone,0.375,0.625,Stable
Rajasthan,Rajsamand,Migration Impact Zone,0.38,0.62,Stable
Rajasthan,Salumbar,Population Expansion Zone,0.08,0.92,Stable
Rajasthan,Sawai Madhopur,Migration Impact Zone,0.414,0.586,Stable
Rajasthan,Sikar,Migration Impact Zone,0.385,0.615,Stable
Rajasthan,Sirohi,Migration Impact Zone,0.422,0.578,Stable
Rajasthan,Tonk,Migration Impact Zone,0.392,0.608,Stable
Rajasthan,Udaipur,Migration Impact Zone,0.391,0.609,Stable
UP,Agra,Migration Impact Zone,0.437,0.563,Stable
UP,Aligarh,Migration Impact Zone,0.445,0.555,Stable
UP,Allahabad,Migration Impact Zone,0.456,0.544,Stable
UP,Ambedkar Nagar,Migration Impact Zone,0.404,0.596,Stable
UP,Amethi,Migration Impact Zone,0.413,0.587,Stable
UP,Amroha,Migration Impact Zone,0.416,0.584,Stable
UP,Auraiya,Migration Impact Zone,0.447,0.553,Stable
UP,Ayodhya,Migration Impact Zone,0.245,0.755,Stable
UP,Azamgarh,Migration Impact Zone,0.374,0.626,Stable
UP,Baghpat,Migration Impact Zone,0.406,0.594,Stable
UP,Bagpat,Population Expansion Zone,0.243,0.757,Stable
UP,Bahraich,Migration Impact Zone,0.507,0.493,Stable
UP,Ballia,Migration Impact Zone,0.401,0.599,Stable
UP,Balrampur,Migration Impact Zone,0.42,0.58,Stable
UP,Banda,Migration Impact Zone,0.427,0.573,Stable
UP,Bara Banki,Migration Impact Zone,0.453,0.547,Stable
UP,Barabanki,Migration Impact Zone,0.209,0.791,Stable
UP,Bareilly,Migration Impact Zone,0.434,0.566,Moderate Stress
UP,Basti,Migration Impact Zone,0.432,0.568,Stable
UP,Bhadohi,Migration Impact Zone,0.289,0.711,Stable
UP,Bijnor,Migration Impact Zone,0.398,0.602,Stable
UP,Budaun,Population Expansion Zone,0.362,0.638,Stable
UP,Bulandshahar,Migration Impact Zone,0.159,0.841,Stable
UP,Bulandshahr,Migration Impact Zone,0.452,0.548,Stable
UP,Chandauli,Migration Impact Zone,0.42,0.58,Stable
UP,Chitrakoot,Migration Impact Zone,0.465,0.535,Stable
UP,Deoria,Migration Impact Zone,0.384,0.616,Stable
UP,Etah,Migration Impact Zone,0.497,0.503,Stable
UP,Etawah,Migration Impact Zone,0.431,0.569,Stable
UP,Faizabad,Migration Impact Zone,0.464,0.536,Stable
UP,Farrukhabad,Migration Impact Zone,0.442,0.558,Stable
UP,Fatehpur,Migration Impact Zone,0.383,0.617,Stable
UP,Firozabad,Population Expansion Zone,0.39,0.61,Stable
UP,Gautam Buddha Nagar,Population Expansion Zone,0.313,0.687,Stable
UP,Ghaziabad,Migration Impact Zone,0.32,0.68,Stable
UP,Ghazipur,Migration Impact Zone,0.412,0.588,Stable
UP,Gonda,Migration Impact Zone,0.434,0.566,Stable
UP,Gorakhpur,Migration Impact Zone,0.328,0.672,Stable
UP,Hamirpur,Migration Impact Zone,0.427,0.573,Stable
UP,Hapur,Migration Impact Zone,0.448,0.552,Stable
UP,Hardoi,Migration Impact Zone,0.508,0.492,Stable
UP,Hathras,Migration Impact Zone,0.509,0.491,Stable
UP,Jalaun,Migration Impact Zone,0.4,0.6,Stable
UP,Jaunpur,Migration Impact Zone,0.406,0.594,Stable
UP,Jhansi,Migration Impact Zone,0.419,0.581,Stable
UP,Jyotiba Phule Nagar,Migration Impact Zone,0.069,0.931,Stable
UP,Kannauj,Migration Impact Zone,0.458,0.542,Stable
UP,Kanpur Dehat,Migration Impact Zone,0.437,0.563,Stable
UP,Kanpur Nagar,Migration Impact Zone,0.349,0.651,Stable
UP,Kasganj,Migration Impact Zone,0.465,0.535,Stable
UP,Kaushambi,Migration Impact Zone,0.507,0.493,Stable
UP,Kheri,Migration Impact Zone,0.442,0.558,Stable
UP,Kushinagar,Migration Impact Zone,0.352,0.648,Stable
UP,Kushinagar *,Population Expansion Zone,0.177,0.823,Stable
UP,Lalitpur,Migration Impact Zone,0.421,0.579,Stable
UP,Lucknow,Migration Impact Zone,0.357,0.643,Stable
UP,Maharajganj,Migration Impact Zone,0.38,0.62,Stable
UP,Mahoba,Migration Impact Zone,0.448,0.552,Stable
UP,Mahrajganj,Population Expansion Zone,0.2,0.8,Stable
UP,Mainpuri,Migration Impact Zone,0.423,0.577,Stable
UP,Mathura,Migration Impact Zone,0.421,0.579,Stable
UP,Mau,Migration Impact Zone,0.34,0.66,Stable
UP,Meerut,Migration Impact Zone,0.393,0.607,Stable
UP,Mirzapur,Migration Impact Zone,0.448,0.552,Stable
UP,Moradabad,Migration Impact Zone,0.375,0.625,Stable
UP,Muzaffarnagar,Migration Impact Zone,0.427,0.573,Stable
UP,Pilibhit,Migration Impact Zone,0.419,0.581,Stable
UP,Pratapgarh,Migration Impact Zone,0.405,0.595,Stable
UP,Prayagraj,Migration Impact Zone,0.292,0.708,Stable
UP,Rae Bareli,Migration Impact Zone,0.414,0.586,Stable
UP,Raebareli,Population Expansion Zone,0.157,0.843,Stable
UP,Rampur,Migration Impact Zone,0.417,0.583,Stable
UP,Saharanpur,Migration Impact Zone,0.405,0.595,Stable
UP,Sambhal,Migration Impact Zone,0.44,0.56,Stable
UP,Sant Kabir Nagar,Migration Impact Zone,0.4,0.6,Stable
UP,Sant Ravidas Nagar,Migration Impact Zone,0.453,0.547,Stable
UP,Sant Ravidas Nagar Bhadohi,Population Expansion Zone,0.232,0.768,Stable
UP,Shahjahanpur,Migration Impact Zone,0.451,0.549,Stable
UP,Shamli,Migration Impact Zone,0.437,0.563,Stable
UP,Shrawasti,Migration Impact Zone,0.369,0.631,Stable
UP,Siddharthnagar,Migration Impact Zone,0.401,0.599,Stable
UP,Sitapur,Migration Impact Zone,0.512,0.488,Moderate Stress
UP,Sonbhadra,Migration Impact Zone,0.466,0.534,Stable
UP,Sultanpur,Migration Impact Zone,0.42,0.58,Stable
UP,Unnao,Migration Impact Zone,0.396,0.604,Stable
UP,Varanasi,Migration Impact Zone,0.377,0.623,Stable
